  ,Class,Confidence,X,Y,Width,Height
15-09-2025 18:15,LDPE,0.480344415,562,613,190,146
15-09-2025 18:15,LDPE,0.424896181,1052,213,37,48
15-09-2025 18:15,PS,0.706763148,1053,211,40,48
15-09-2025 18:15,LDPE,0.657373607,414,681,237,77
15-09-2025 18:15,LDPE,0.484446883,778,557,96,158
15-09-2025 18:15,PS,0.430944324,595,601,99,99
15-09-2025 18:15,PS,0.857100666,719,650,112,117
15-09-2025 18:15,LDPE,0.822442055,421,683,211,73
15-09-2025 18:15,LDPE,0.628408313,1051,212,39,47
15-09-2025 18:15,LDPE,0.541692257,99,292,178,168
15-09-2025 18:15,LDPE,0.531849384,80,596,135,192
15-09-2025 18:15,LDPE,0.424447834,886,309,141,153
15-09-2025 18:16,LDPE,0.826929867,418,683,191,74
15-09-2025 18:16,PS,0.760866761,710,673,116,93
15-09-2025 18:16,LDPE,0.579931796,1052,212,39,45
15-09-2025 18:16,PS,0.565152466,942,686,132,66
15-09-2025 18:16,LDPE,0.496328056,707,673,122,94
15-09-2025 18:16,PS,0.831886649,788,574,93,124
15-09-2025 18:16,LDPE,0.818805933,370,685,141,70
15-09-2025 18:16,LDPE,0.632036567,103,291,157,172
15-09-2025 18:16,PS,0.488256931,536,665,178,109
15-09-2025 18:16,LDPE,0.453549087,75,590,138,196
15-09-2025 18:16,LDPE,0.452344596,1052,213,37,48
15-09-2025 18:16,PS,0.855054855,568,659,111,113
15-09-2025 18:16,LDPE,0.749897063,372,685,142,69
15-09-2025 18:16,PS,0.561913848,770,567,61,137
15-09-2025 18:16,LDPE,0.527771473,1053,212,38,47
15-09-2025 18:16,LDPE,0.419746578,82,593,132,191
15-09-2025 18:16,LDPE,0.416118145,118,294,124,174
15-09-2025 18:24,LDPE,0.868609011,115,447,154,166
15-09-2025 18:24,LDPE,0.793058038,670,600,102,101
15-09-2025 18:24,LDPE,0.76192379,80,629,111,115
15-09-2025 18:24,LDPE,0.760286331,443,675,277,89
15-09-2025 18:24,LDPE,0.693966329,115,300,141,156
15-09-2025 18:24,LDPE,0.856314182,418,682,217,75
15-09-2025 18:24,LDPE,0.849139094,115,440,151,171
15-09-2025 18:24,LDPE,0.694365621,81,611,114,154
15-09-2025 18:24,HDPE,0.644573569,927,447,91,198
15-09-2025 18:24,LDPE,0.532035172,108,298,148,165
15-09-2025 18:24,PS,0.518769562,751,674,165,92
15-09-2025 18:24,LDPE,0.408759773,1052,212,39,48
15-09-2025 18:25,LDPE,0.824684799,114,439,151,167
15-09-2025 18:25,LDPE,0.76830411,413,680,193,79
