Timestamp,Class,Confidence,X,Y,Width,Height,ParticleSize_�m
2025-10-07 10:32:41,PS_count,3,,,,,
2025-10-07 10:32:41,LDPE_count,1,,,,,
2025-10-07 10:33:10,LDPE,0.6324671506881714,28,336,56,85,137.99
2025-10-07 10:33:10,LDPE,0.43290674686431885,57,407,107,74,177.97
2025-10-07 10:33:10,LDPE,0.43068569898605347,152,663,302,114,371.1
2025-10-07 10:33:10,LDPE_count,3,,,,,
2025-10-07 10:33:16,LDPE,0.5738011002540588,152,655,304,128,394.52
2025-10-07 10:33:16,LDPE,0.4766436219215393,27,343,55,85,136.75
2025-10-07 10:33:16,LDPE_count,2,,,,,
2025-10-07 10:33:21,LDPE,0.5421854853630066,26,344,52,88,135.29
2025-10-07 10:33:21,LDPE_count,1,,,,,
2025-10-07 10:33:26,PS,0.8468605279922485,584,643,157,87,233.74
2025-10-07 10:33:26,LDPE,0.7866237759590149,665,371,132,81,206.8
2025-10-07 10:33:26,LDPE,0.5859664082527161,824,514,88,100,187.62
2025-10-07 10:33:26,PS,0.5420637130737305,658,705,33,30,62.93
2025-10-07 10:33:26,PS_count,2,,,,,
2025-10-07 10:33:26,LDPE_count,2,,,,,
2025-10-07 10:33:30,PS,0.8996615409851074,1098,616,179,85,246.7
2025-10-07 10:33:30,LDPE,0.7737767100334167,58,398,100,66,162.48
2025-10-07 10:33:30,LDPE,0.6667852997779846,778,369,142,116,256.69
2025-10-07 10:33:30,PS,0.534540593624115,586,709,87,21,85.49
2025-10-07 10:33:30,LDPE,0.4893638491630554,846,544,100,69,166.13
2025-10-07 10:33:30,PS_count,2,,,,,
2025-10-07 10:33:30,LDPE_count,3,,,,,
2025-10-07 10:33:37,LDPE,0.796137273311615,920,513,93,102,194.79
2025-10-07 10:33:37,PS,0.48824459314346313,711,697,68,46,111.86
2025-10-07 10:33:37,HDPE,0.42325103282928467,1071,624,238,96,302.31
2025-10-07 10:33:37,LDPE_count,1,,,,,
2025-10-07 10:33:37,PS_count,1,,,,,
2025-10-07 10:33:37,HDPE_count,1,,,,,
2025-10-07 10:37:49,PS,0.9096742272377014,592,653,145,96,235.97
2025-10-07 10:37:49,PS,0.7987307906150818,691,680,127,80,201.59
